timestamp publish_pose video_counter image_counter
1732203336.622782 1 170 169
1732203337.022819 0 170 170
1732203337.422808 1 171 170
1732203337.822586 1 172 171
1732203338.222748 1 173 172
1732203338.622754 1 174 173
1732203339.02278 1 175 174
1732203339.422777 1 176 175
1732203339.823255 1 177 176
1732203340.222567 0 177 177
1732203340.62257 1 178 177
1732203341.022754 1 179 178
1732203341.422745 1 180 179
1732203341.822814 1 181 180
1732203342.22275 1 182 181
1732203342.622545 1 183 182
1732203343.022541 1 184 183
1732203343.422709 1 185 184
1732203343.822722 1 186 185
1732203344.222739 1 187 186
1732203344.623002 1 188 187
1732203345.023156 1 189 188
1732203345.422545 1 190 189
1732203345.822667 1 191 190
1732203346.222956 1 192 191
1732203346.622679 1 193 192
1732203347.022684 1 194 193
1732203347.422693 1 195 194
1732203347.822481 1 196 195
1732203348.222689 1 197 196
1732203348.622654 1 198 197
1732203349.022692 1 199 198
1732203349.422676 1 200 199
1732203349.822669 1 201 200
1732203350.222465 1 202 201
1732203350.622621 1 203 202
1732203351.023062 1 204 203
1732203351.422784 1 205 204
1732203351.822666 1 206 205
1732203352.222663 1 207 206
1732203352.622565 1 208 207
1732203353.0226 1 209 208
1732203353.4226 1 210 209
1732203353.822602 1 211 210
1732203354.2226 1 212 211
1732203354.622634 1 213 212
1732203355.022408 1 214 213
1732203355.422429 1 215 214
1732203355.822554 1 216 215
1732203356.222576 1 217 216
1732203356.622576 1 218 217
1732203357.023008 1 219 218
1732203357.422386 1 220 219
1732203357.822389 1 221 220
1732203358.222549 1 222 221
1732203358.622593 1 223 222
1732203359.022566 1 224 223
1732203359.42259 1 225 224
1732203359.82235 1 226 225
1732203360.222539 1 227 226
1732203360.622547 1 228 227
1732203361.022552 1 229 228
1732203361.422524 1 230 229
1732203361.822551 1 231 230
1732203362.222539 1 232 231
1732203362.622337 1 233 232
1732203363.022487 1 234 233
1732203363.4225 1 235 234
1732203363.822499 1 236 235
1732203364.222553 1 237 236
1732203364.622549 1 238 237
1732203365.022468 1 239 238
1732203365.422457 1 240 239
1732203365.822464 1 241 240
1732203366.222469 1 242 241
1732203366.622499 1 243 242
1732203367.02528 1 244 243
1732203367.422276 0 244 244
1732203367.822443 1 245 244
1732203368.222452 0 245 245
1732203368.622514 1 246 245
1732203369.022483 1 247 246
1732203369.422454 1 248 247
1732203369.822266 1 249 248
1732203370.222413 1 250 249
1732203370.622417 1 251 250
1732203371.022421 0 251 251
1732203371.422448 1 252 251
1732203371.822418 0 252 252
1732203372.222233 1 253 252
1732203372.622233 1 254 253
1732203373.022385 1 255 254
1732203373.422388 1 256 255
1732203373.822432 1 257 256
1732203374.222423 1 258 257
1732203374.622196 1 259 258
1732203375.022365 0 259 259
1732203375.422686 1 260 259
1732203375.822401 0 260 260
1732203376.222384 1 261 260
1732203376.622578 0 261 261
1732203377.022376 1 262 261
1732203377.422295 0 262 262
1732203377.82246 1 263 262
1732203378.222333 0 263 263
1732203378.622347 1 264 263
1732203379.022345 0 264 264
1732203379.422345 1 265 264
1732203379.822145 0 265 265
1732203380.222363 1 266 265
1732203380.622339 0 266 266
1732203381.022343 1 267 266
1732203381.422325 0 267 267
1732203381.822328 1 268 267
1732203382.222287 0 268 268
1732203382.688941 1 269 268
1732203383.022283 0 269 269
1732203383.488958 1 270 269
1732203383.889056 0 270 270
1732203384.289033 1 271 270
1732203384.68876 0 271 271
1732203385.088926 1 272 271
1732203385.488925 0 272 272
1732203385.888928 1 273 272
1732203386.288974 0 273 273
1732203386.688942 1 274 273
1732203387.088751 0 274 274
1732203387.488726 1 275 274
1732203387.888892 0 275 275
1732203388.288924 0 275 275
1732203388.6889 1 276 275
1732203389.0889 0 276 276
1732203389.488706 0 276 276
1732203389.888721 1 277 276
1732203390.288884 0 277 277
1732203390.690393 1 278 277
1732203391.088876 0 278 278
1732203391.488859 1 279 278
1732203391.888676 0 279 279
1732203392.288678 1 280 279
1732203392.688835 0 280 280
1732203393.088838 1 281 280
1732203393.48885 0 281 281
1732203393.888846 1 282 281
1732203394.288938 0 282 282
1732203394.688853 1 283 282
1732203395.088834 0 283 283
1732203395.488815 1 284 283
1732203395.888892 0 284 284
1732203396.288823 1 285 284
1732203396.688836 0 285 285
1732203397.088624 1 286 285
1732203397.488779 0 286 286
1732203397.888802 1 287 286
1732203398.288811 0 287 287
1732203398.688791 1 288 287
1732203399.088871 0 288 288
1732203399.488595 1 289 288
1732203399.888778 0 289 289
1732203400.288754 1 290 289
1732203400.68879 0 290 290
1732203401.088806 1 291 290
1732203401.488771 0 291 291
1732203401.888571 1 292 291
1732203402.288566 0 292 292
1732203402.688734 1 293 292
1732203403.088759 0 293 293
1732203403.488764 1 294 293
1732203403.888804 0 294 294
1732203404.288724 1 295 294
1732203404.689014 0 295 295
1732203405.088715 1 296 295
1732203405.488743 1 297 296
1732203405.888849 1 298 297
1732203406.28871 1 299 298
1732203406.688537 1 300 299
1732203407.088527 1 301 300
1732203407.488679 1 302 301
1732203407.888687 0 302 302
1732203408.288713 1 303 302
1732203408.688998 1 304 303
1732203409.088781 0 304 304
1732203409.488884 1 305 304
1732203409.888911 0 305 305
1732203410.288667 1 306 305
1732203410.688672 1 307 306
1732203411.088674 1 308 307
1732203411.488663 1 309 308
1732203411.888496 1 310 309
1732203412.288654 1 311 310
1732203412.688976 1 312 311
1732203413.088664 1 313 312
1732203413.488617 1 314 313
1732203413.888742 1 315 314
1732203414.288473 1 316 315
1732203414.688433 1 317 316
1732203415.088593 1 318 317
1732203415.488606 1 319 318
1732203415.88861 1 320 319
1732203416.288641 1 321 320
1732203416.688402 1 322 321
1732203417.088427 1 323 322
1732203417.488582 1 324 323
1732203417.888576 0 324 324
1732203418.288577 0 324 324
1732203418.688578 1 325 324
1732203419.088433 0 325 325
1732203419.488379 1 326 325
1732203419.888557 1 327 326
1732203420.288542 1 328 327
1732203420.688591 1 329 328
1732203421.08855 1 330 329
1732203421.488547 1 331 330
1732203421.888524 1 332 331
1732203422.288512 0 332 332
1732203422.688513 1 333 332
1732203423.088517 0 333 333
1732203423.488527 1 334 333
1732203423.888542 0 334 334
1732203424.288353 0 334 334
1732203424.688658 1 335 334
1732203425.088485 0 335 335
1732203425.488517 0 335 335
1732203425.888505 1 336 335
1732203426.288539 0 336 336
1732203426.688509 1 337 336
1732203427.08849 1 338 337
1732203427.488751 0 338 338
1732203427.888466 1 339 338
1732203428.288496 0 339 339
1732203428.688497 1 340 339
1732203429.088272 0 340 340
1732203429.488285 1 341 340
1732203429.888574 0 341 341
1732203430.288439 1 342 341
1732203430.688651 0 342 342
1732203431.088534 0 342 342
1732203431.488429 0 342 342
1732203431.888263 1 343 342
1732203432.288558 0 343 343
1732203432.688442 0 343 343
1732203433.088413 1 344 343
1732203433.488419 0 344 344
1732203433.88822 1 345 344
1732203434.288234 0 345 345
1732203434.688373 1 346 345
1732203435.088416 0 346 346
1732203435.488388 1 347 346
1732203435.888437 0 347 347
